,Monthlycharges,Totalcharges,Multiplelines_0,Multiplelines_1,Multiplelines_2,Multiplelines_3,Multiplelines_4,Multiplelines_5,Multiplelines_6,Internetservice_0,Internetservice_1,Internetservice_2,Internetservice_3,Internetservice_4,Internetservice_5,Internetservice_6,Contract_0,Contract_1,Contract_2,Contract_3,Contract_4,Contract_5,Contract_6,Paymentmethod_0,Paymentmethod_1,Paymentmethod_2,Paymentmethod_3,Paymentmethod_4,Paymentmethod_5,Paymentmethod_6,CreatedTenure_0,CreatedTenure_1,CreatedTenure_2,CreatedTenure_3,CreatedTenure_4,CreatedTenure_5,CreatedTenure_6,Gender_Female,Gender_Male,Seniorcitizen_No,Seniorcitizen_Yes,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,Phoneservice_No,Phoneservice_Yes,Onlinesecurity_No,Onlinesecurity_Yes,Onlinebackup_No,Onlinebackup_Yes,Deviceprotection_No,Deviceprotection_Yes,Techsupport_No,Techsupport_Yes,Streamingtv_No,Streamingtv_Yes,Streamingmovies_No,Streamingmovies_Yes,Paperlessbilling_No,Paperlessbilling_Yes
27,30.2,30.2,0,2,0,0,1,1,1,2,2,0,2,2,0,0,2,1,0,0,0,2,0,0,0,0,1,2,3,0,4,3,1,1,2,3,4,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
28,90.25,6369.45,1,0,1,1,2,0,2,2,2,0,2,2,0,0,1,2,2,1,1,0,1,3,3,3,3,0,0,1,1,1,2,3,4,4,3,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
29,64.7,1093.1,2,1,2,2,0,2,0,2,2,0,2,2,0,0,2,1,0,0,0,2,0,2,2,2,2,1,2,2,0,0,4,4,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1
30,96.35,6766.95,1,0,1,1,2,0,2,1,0,2,0,1,1,1,1,2,2,1,1,0,1,3,3,3,3,0,0,1,1,1,2,3,4,4,3,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1
31,95.5,181.65,2,1,2,2,0,2,0,1,0,2,0,1,1,1,2,1,0,0,0,2,0,3,3,3,3,0,0,1,4,3,1,1,2,3,4,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1
32,66.15,1874.45,2,1,2,2,0,2,0,2,2,0,2,2,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,2,4,0,0,3,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0
33,20.2,20.2,2,1,2,2,0,2,0,0,1,1,1,0,2,2,2,1,0,0,0,2,0,1,1,1,0,3,1,3,4,3,1,1,2,3,4,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
34,45.25,45.25,2,1,2,2,0,2,0,2,2,0,2,2,0,0,2,1,0,0,0,2,0,1,1,1,0,3,1,3,4,3,1,1,2,3,4,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
35,99.9,7251.7,1,0,1,1,2,0,2,1,0,2,0,1,1,1,1,2,2,1,1,0,1,1,1,1,0,3,1,3,1,1,2,3,4,4,3,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0
36,69.7,316.9,2,1,2,2,0,2,0,1,0,2,0,1,1,1,2,1,0,0,0,2,0,0,0,0,1,2,3,0,4,3,1,1,2,3,4,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1
37,74.8,3548.3,2,1,2,2,0,2,0,1,0,2,0,1,1,1,2,1,0,0,0,2,0,3,3,3,3,0,0,1,2,4,0,0,3,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1
38,106.35,3549.25,1,0,1,1,2,0,2,1,0,2,0,1,1,1,2,1,0,0,0,2,0,0,0,0,1,2,3,0,2,4,0,0,3,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1
39,97.85,1105.4,1,0,1,1,2,0,2,1,0,2,0,1,1,1,2,1,0,0,0,2,0,1,1,1,0,3,1,3,4,3,1,1,2,3,4,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1
40,49.55,475.7,2,1,2,2,0,2,0,2,2,0,2,2,0,0,0,0,1,2,2,1,2,2,2,2,2,1,2,2,4,3,1,1,2,3,4,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0
41,69.2,4872.35,1,0,1,1,2,0,2,2,2,0,2,2,0,0,1,2,2,1,1,0,1,3,3,3,3,0,0,1,1,1,2,3,4,4,3,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1
42,20.75,418.25,2,1,2,2,0,2,0,0,1,1,1,0,2,2,0,0,1,2,2,1,2,2,2,2,2,1,2,2,0,0,4,4,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
43,79.85,4861.45,1,0,1,1,2,0,2,2,2,0,2,2,0,0,1,2,2,1,1,0,1,3,3,3,3,0,0,1,1,1,2,3,4,4,3,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
44,76.2,981.45,1,0,1,1,2,0,2,2,2,0,2,2,0,0,2,1,0,0,0,2,0,0,0,0,1,2,3,0,0,0,4,4,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1
45,84.5,3906.7,1,0,1,1,2,0,2,1,0,2,0,1,1,1,2,1,0,0,0,2,0,0,0,0,1,2,3,0,3,2,3,2,0,2,2,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1
46,49.25,97.0,2,1,2,2,0,2,0,2,2,0,2,2,0,0,2,1,0,0,0,2,0,2,2,2,2,1,2,2,4,3,1,1,2,3,4,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0
47,80.65,144.15,2,1,2,2,0,2,0,1,0,2,0,1,1,1,2,1,0,0,0,2,0,0,0,0,1,2,3,0,4,3,1,1,2,3,4,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1
48,79.75,4217.8,1,0,1,1,2,0,2,2,2,0,2,2,0,0,1,2,2,1,1,0,1,3,3,3,3,0,0,1,3,2,3,2,0,2,2,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1
49,64.15,4254.1,1,0,1,1,2,0,2,2,2,0,2,2,0,0,1,2,2,1,1,0,1,3,3,3,3,0,0,1,1,1,2,3,4,4,3,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1
50,90.25,3838.75,1,0,1,1,2,0,2,1,0,2,0,1,1,1,2,1,0,0,0,2,0,0,0,0,1,2,3,0,2,4,0,0,3,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1
51,99.1,1426.4,2,1,2,2,0,2,0,1,0,2,0,1,1,1,2,1,0,0,0,2,0,3,3,3,3,0,0,1,0,0,4,4,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1
52,69.5,1752.65,1,0,1,1,2,0,2,2,2,0,2,2,0,0,2,1,0,0,0,2,0,3,3,3,3,0,0,1,2,4,0,0,3,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1
53,80.65,633.3,1,0,1,1,2,0,2,1,0,2,0,1,1,1,2,1,0,0,0,2,0,3,3,3,3,0,0,1,4,3,1,1,2,3,4,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1
54,74.85,4456.35,2,1,2,2,0,2,0,2,2,0,2,2,0,0,0,0,1,2,2,1,2,3,3,3,3,0,0,1,3,2,3,2,0,2,2,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1
55,95.45,1752.55,1,0,1,1,2,0,2,1,0,2,0,1,1,1,2,1,0,0,0,2,0,0,0,0,1,2,3,0,0,0,4,4,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1
56,99.65,6311.2,1,0,1,1,2,0,2,1,0,2,0,1,1,1,0,0,1,2,2,1,2,3,3,3,3,0,0,1,1,1,2,3,4,4,3,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1
57,108.45,7076.35,1,0,1,1,2,0,2,1,0,2,0,1,1,1,0,0,1,2,2,1,2,0,0,0,1,2,3,0,1,1,2,3,4,4,3,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
58,24.95,894.3,1,0,1,1,2,0,2,0,1,1,1,0,2,2,1,2,2,1,1,0,1,3,3,3,3,0,0,1,2,4,0,0,3,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
59,107.5,7853.7,1,0,1,1,2,0,2,1,0,2,0,1,1,1,1,2,2,1,1,0,1,3,3,3,3,0,0,1,1,1,2,3,4,4,3,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1
60,100.5,4707.1,1,0,1,1,2,0,2,1,0,2,0,1,1,1,2,1,0,0,0,2,0,0,0,0,1,2,3,0,2,4,0,0,3,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1
61,89.9,5450.7,1,0,1,1,2,0,2,1,0,2,0,1,1,1,2,1,0,0,0,2,0,1,1,1,0,3,1,3,3,2,3,2,0,2,2,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1
62,42.1,2962.0,0,2,0,0,1,1,1,2,2,0,2,2,0,0,1,2,2,1,1,0,1,1,1,1,0,3,1,3,1,1,2,3,4,4,3,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0
63,54.4,957.1,2,1,2,2,0,2,0,2,2,0,2,2,0,0,0,0,1,2,2,1,2,3,3,3,3,0,0,1,0,0,4,4,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1
64,94.4,857.25,1,0,1,1,2,0,2,1,0,2,0,1,1,1,2,1,0,0,0,2,0,0,0,0,1,2,3,0,4,3,1,1,2,3,4,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0
65,75.3,244.1,2,1,2,2,0,2,0,2,2,0,2,2,0,0,2,1,0,0,0,2,0,0,0,0,1,2,3,0,4,3,1,1,2,3,4,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1
66,78.9,3650.35,1,0,1,1,2,0,2,1,0,2,0,1,1,1,0,0,1,2,2,1,2,0,0,0,1,2,3,0,2,4,0,0,3,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1
67,79.2,2497.2,2,1,2,2,0,2,0,2,2,0,2,2,0,0,1,2,2,1,1,0,1,2,2,2,2,1,2,2,2,4,0,0,3,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0
68,20.15,930.9,2,1,2,2,0,2,0,0,1,1,1,0,2,2,1,2,2,1,1,0,1,1,1,1,0,3,1,3,3,2,3,2,0,2,2,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
69,79.85,887.35,2,1,2,2,0,2,0,1,0,2,0,1,1,1,2,1,0,0,0,2,0,2,2,2,2,1,2,2,4,3,1,1,2,3,4,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1
70,49.05,49.05,2,1,2,2,0,2,0,2,2,0,2,2,0,0,2,1,0,0,0,2,0,2,2,2,2,1,2,2,4,3,1,1,2,3,4,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
71,20.4,1090.65,2,1,2,2,0,2,0,0,1,1,1,0,2,2,0,0,1,2,2,1,2,0,0,0,1,2,3,0,3,2,3,2,0,2,2,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1
72,111.6,7099.0,1,0,1,1,2,0,2,1,0,2,0,1,1,1,1,2,2,1,1,0,1,1,1,1,0,3,1,3,1,1,2,3,4,4,3,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
73,24.25,1424.6,1,0,1,1,2,0,2,0,1,1,1,0,2,2,1,2,2,1,1,0,1,1,1,1,0,3,1,3,1,1,2,3,4,4,3,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1
74,64.5,177.4,2,1,2,2,0,2,0,2,2,0,2,2,0,0,2,1,0,0,0,2,0,1,1,1,0,3,1,3,4,3,1,1,2,3,4,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1
75,110.5,6139.5,1,0,1,1,2,0,2,1,0,2,0,1,1,1,0,0,1,2,2,1,2,0,0,0,1,2,3,0,3,2,3,2,0,2,2,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0
76,55.65,2688.85,2,1,2,2,0,2,0,2,2,0,2,2,0,0,0,0,1,2,2,1,2,3,3,3,3,0,0,1,2,4,0,0,3,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
77,54.65,482.25,2,1,2,2,0,2,0,2,2,0,2,2,0,0,2,1,0,0,0,2,0,2,2,2,2,1,2,2,4,3,1,1,2,3,4,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
78,74.75,2111.3,2,1,2,2,0,2,0,2,2,0,2,2,0,0,2,1,0,0,0,2,0,0,0,0,1,2,3,0,2,4,0,0,3,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1
79,25.9,1216.6,1,0,1,1,2,0,2,0,1,1,1,0,2,2,0,0,1,2,2,1,2,3,3,3,3,0,0,1,2,4,0,0,3,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1
80,79.35,79.35,2,1,2,2,0,2,0,1,0,2,0,1,1,1,2,1,0,0,0,2,0,0,0,0,1,2,3,0,4,3,1,1,2,3,4,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1
81,50.55,565.35,0,2,0,0,1,1,1,2,2,0,2,2,0,0,2,1,0,0,0,2,0,0,0,0,1,2,3,0,4,3,1,1,2,3,4,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0
82,75.15,496.9,2,1,2,2,0,2,0,1,0,2,0,1,1,1,2,1,0,0,0,2,0,1,1,1,0,3,1,3,4,3,1,1,2,3,4,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1
83,103.8,4327.5,2,1,2,2,0,2,0,1,0,2,0,1,1,1,2,1,0,0,0,2,0,1,1,1,0,3,1,3,2,4,0,0,3,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
84,20.15,973.35,2,1,2,2,0,2,0,0,1,1,1,0,2,2,1,2,2,1,1,0,1,1,1,1,0,3,1,3,3,2,3,2,0,2,2,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1
85,99.3,918.75,1,0,1,1,2,0,2,1,0,2,0,1,1,1,2,1,0,0,0,2,0,3,3,3,3,0,0,1,4,3,1,1,2,3,4,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1
86,62.15,2215.45,2,1,2,2,0,2,0,2,2,0,2,2,0,0,0,0,1,2,2,1,2,1,1,1,0,3,1,3,2,4,0,0,3,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1
87,20.65,1057.0,2,1,2,2,0,2,0,0,1,1,1,0,2,2,1,2,2,1,1,0,1,1,1,1,0,3,1,3,2,4,0,0,3,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
88,19.95,927.1,2,1,2,2,0,2,0,0,1,1,1,0,2,2,1,2,2,1,1,0,1,2,2,2,2,1,2,2,2,4,0,0,3,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1
89,33.75,1009.25,0,2,0,0,1,1,1,2,2,0,2,2,0,0,2,1,0,0,0,2,0,2,2,2,2,1,2,2,2,4,0,0,3,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
90,82.05,2570.2,2,1,2,2,0,2,0,1,0,2,0,1,1,1,2,1,0,0,0,2,0,1,1,1,0,3,1,3,2,4,0,0,3,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0
91,74.7,74.7,2,1,2,2,0,2,0,1,0,2,0,1,1,1,2,1,0,0,0,2,0,0,0,0,1,2,3,0,4,3,1,1,2,3,4,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
92,84.0,5714.25,1,0,1,1,2,0,2,2,2,0,2,2,0,0,1,2,2,1,1,0,1,2,2,2,2,1,2,2,1,1,2,3,4,4,3,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1
93,111.05,7107.0,1,0,1,1,2,0,2,1,0,2,0,1,1,1,2,1,0,0,0,2,0,3,3,3,3,0,0,1,1,1,2,3,4,4,3,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1
94,100.9,7459.05,1,0,1,1,2,0,2,1,0,2,0,1,1,1,1,2,2,1,1,0,1,1,1,1,0,3,1,3,1,1,2,3,4,4,3,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1
95,78.95,927.35,1,0,1,1,2,0,2,1,0,2,0,1,1,1,2,1,0,0,0,2,0,0,0,0,1,2,3,0,4,3,1,1,2,3,4,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1
96,66.85,4748.7,1,0,1,1,2,0,2,2,2,0,2,2,0,0,0,0,1,2,2,1,2,3,3,3,3,0,0,1,1,1,2,3,4,4,3,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1
97,21.05,113.85,2,1,2,2,0,2,0,0,1,1,1,0,2,2,2,1,0,0,0,2,0,2,2,2,2,1,2,2,4,3,1,1,2,3,4,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
98,21.0,1107.2,2,1,2,2,0,2,0,0,1,1,1,0,2,2,1,2,2,1,1,0,1,1,1,1,0,3,1,3,3,2,3,2,0,2,2,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
99,98.5,2514.5,2,1,2,2,0,2,0,1,0,2,0,1,1,1,2,1,0,0,0,2,0,0,0,0,1,2,3,0,2,4,0,0,3,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1
